bathrooms;hasLift;latitude;longitude;newDevelopment;price;rooms;size;exterior_0;exterior_1;floor_1;floor_2;floor_3;floor_4;floor_high;floor_en;luxury;hasParking;property_chalet;property_duplex;property_penthouse;property_studio;status_renew;y_pred;rentabilidad;property_type;floor_type
1;False;37.3911298;-5.9696561;False;118800.0;3;82.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;855.0794203612478;8.637165862234825;Piso;Tercer Piso
3;False;37.3864385;-5.9664589;False;330000.0;3;179.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1198.7833333333335;4.3592121212121215;Chalet;Bajo/Semisótano
1;False;37.3929946;-5.9694388;False;325000.0;3;98.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;1;917.6669759168035;3.3883088341543512;Piso;Primer Piso
2;True;37.3963616;-5.9662824;False;288000.0;5;200.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;0;1141.1516666666664;4.75479861111111;Piso;Piso Alto
2;False;37.3852439;-5.9623861;False;395000.0;4;145.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1203.2833178603012;3.655544256790788;Chalet;Bajo/Semisótano
1;False;37.3859553;-5.9658692;False;190000.0;2;70.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;874.3538934688502;5.522235116645369;Piso;Bajo/Semisótano
1;True;37.3854026;-5.9641493;False;260000.0;1;54.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;862.579551871509;3.9811363932531187;Piso;Bajo/Semisótano
2;True;37.3878139;-5.9685512;False;251600.0;3;118.0;1;0;0;0;0;0;0;0;False;False;0;0;0;0;0;1250.4775038402456;5.964121639937578;Piso;Bajo/Semisótano
1;False;37.3885835;-5.9552879;False;75000.0;3;75.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;854.7447775041052;13.675916440065683;Piso;Tercer Piso
2;False;37.3850941;-5.9624675;False;279501.0;3;100.0;0;1;1;0;0;0;0;0;False;False;0;0;1;0;0;1165.01;5.001813946998401;Ático;Primer Piso
1;True;37.3853516;-5.9598652;False;270000.0;2;90.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;932.3624853801168;4.143833268356075;Piso;Segundo Piso
3;False;37.3852928;-5.964568;False;675000.0;6;285.0;0;0;0;0;0;0;0;0;False;True;1;0;0;0;0;1582.0083333333334;2.81245925925926;Chalet;Bajo/Semisótano
4;True;37.3860432;-5.9667894;True;582000.0;4;205.0;0;1;0;0;0;0;0;0;False;False;0;1;0;0;0;1533.31;3.161463917525773;Dúplex;Bajo/Semisótano
1;True;37.3851041;-5.9641489;False;230000.0;3;82.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;1;938.4099673659674;4.896052003648525;Piso;Primer Piso
1;True;37.3858035;-5.9663424;False;250000.0;1;68.0;0;0;0;0;1;0;0;0;False;False;0;0;0;0;0;898.2838461538463;4.311762461538462;Piso;Tercer Piso
2;False;37.3854687;-5.965728;False;259990.0;3;83.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;1178.6690229885055;5.44022011456674;Piso;Bajo/Semisótano
2;False;37.3849592;-5.9605359;False;325000.0;6;172.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1433.7042948717947;5.293677396449704;Chalet;Bajo/Semisótano
1;False;37.3880196;-5.969334;False;325000.0;3;98.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;1;909.2998330596607;3.3574147682202864;Piso;Primer Piso
2;False;37.3848407;-5.9612368;False;375250.0;3;131.0;0;0;0;0;0;0;0;0;False;True;1;0;0;0;0;1276.731360514711;4.0828184746639655;Chalet;Bajo/Semisótano
2;True;37.3860628;-5.9673178;False;620000.0;3;141.0;0;1;0;0;1;0;0;0;False;False;0;0;1;0;0;1408.6958333333328;2.7265080645161275;Ático;Tercer Piso
1;False;37.3951352;-5.9690085;False;92000.0;3;58.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;811.9318098025168;10.59041491046761;Piso;Segundo Piso
2;False;37.3847519;-5.9610143;False;240000.0;2;109.0;0;0;1;0;0;0;0;0;False;False;0;0;0;0;0;1202.4498563218392;6.012249281609196;Piso;Primer Piso
1;True;37.3855686;-5.9666159;False;306000.0;2;83.0;0;1;0;1;0;0;0;0;False;True;0;1;0;0;0;1135.7772392356073;4.4540283891592445;Dúplex;Segundo Piso
1;False;37.3877841;-5.9694531;False;399000.0;5;170.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;1167.2182142857146;3.5104307196562843;Piso;Bajo/Semisótano
2;False;37.3888923;-5.9701628;False;325000.0;3;137.0;0;1;1;0;0;0;0;0;False;False;0;0;1;0;0;1166.4355850727388;4.306839083345497;Ático;Primer Piso
2;True;37.3879262;-5.9695866;False;219900.0;3;87.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;1181.0877330612445;6.445226374140487;Piso;Primer Piso
2;False;37.384505;-5.9629169;False;315000.0;5;194.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;1;1208.2751282051286;4.602952869352871;Chalet;Bajo/Semisótano
1;False;37.3950278;-5.9694174;False;89000.0;2;55.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;813.5338388594167;10.968995580126967;Piso;Tercer Piso
2;True;37.3911917;-5.9708491;False;319000.0;3;82.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;1300.4216666666664;4.891868338557993;Piso;Tercer Piso
2;False;37.3849601;-5.9657442;False;430000.0;4;160.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1220.1292948717955;3.4050119856887315;Chalet;Bajo/Semisótano
1;False;37.3959497;-5.9558576;False;115000.0;3;90.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;0;855.3616174948241;8.925512530380773;Piso;Segundo Piso
1;True;37.3861039;-5.9680232;False;192000.0;0;58.0;0;1;1;0;0;0;0;0;False;False;0;0;0;1;0;799.7043226911976;4.9981520168199856;Estudio;Primer Piso
1;False;37.3928868;-5.9707847;False;126000.0;3;60.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;824.3579462809805;7.851028059818862;Piso;Bajo/Semisótano
2;False;37.3846137;-5.9647641;False;390000.0;3;133.0;0;1;1;0;0;0;0;0;False;True;0;1;0;0;0;1230.5021938480447;3.786160596455522;Dúplex;Primer Piso
2;True;37.3935217;-5.9539748;False;259000.0;4;125.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;1031.5948484848489;4.7795900315900335;Piso;Primer Piso
3;False;37.3843547;-5.9612342;False;330000.0;3;179.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1172.9083333333338;4.265121212121214;Chalet;Bajo/Semisótano
1;False;37.3857482;-5.9567717;False;87260.0;3;66.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;847.3853809523811;11.653248420156512;Piso;Tercer Piso
3;True;37.3888775;-5.9706152;False;415000.0;2;132.0;0;1;0;1;0;0;0;0;False;True;0;1;0;0;0;1164.8450408255455;3.368226624073866;Dúplex;Segundo Piso
2;True;37.3962088;-5.9557037;False;360000.0;4;161.0;0;1;0;1;0;0;0;0;False;True;0;0;0;0;0;1108.82125;3.6960708333333336;Piso;Segundo Piso
4;False;37.3841111;-5.9632915;False;929000.0;5;552.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1686.4875;2.1784553283100108;Chalet;Bajo/Semisótano
2;True;37.3973562;-5.9567049;False;259000.0;3;115.0;0;1;0;0;1;0;0;0;False;True;0;0;0;0;1;1089.733611111111;5.048958815958816;Piso;Tercer Piso
2;True;37.38378;-5.9633378;False;300000.0;3;140.0;0;1;0;0;1;0;0;0;False;False;0;0;0;0;0;1264.420595238095;5.0576823809523805;Piso;Tercer Piso
3;True;37.384587;-5.9666921;False;338000.0;3;151.0;0;1;0;1;0;0;0;0;False;False;0;0;0;0;1;1234.9332074175823;4.384378251186682;Piso;Segundo Piso
1;False;37.3838533;-5.9641216;False;133500.0;1;50.0;0;1;1;0;0;0;0;0;False;False;0;0;0;0;0;824.814993761141;7.414067359650704;Piso;Primer Piso
3;False;37.3836966;-5.9627582;False;325000.0;6;176.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;1;1420.304294871795;5.244200473372782;Chalet;Bajo/Semisótano
1;False;37.3839134;-5.9598482;False;137000.0;0;100.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;1;910.3055555555553;7.973479318734792;Chalet;Bajo/Semisótano
2;False;37.3838083;-5.9604154;False;330000.0;4;140.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1175.9958178603013;4.2763484285829145;Chalet;Bajo/Semisótano
2;False;37.3873498;-5.9704949;False;370000.0;2;98.0;0;1;1;0;0;0;0;0;False;False;0;0;1;0;0;1158.8605850727388;3.7584667623980716;Ático;Primer Piso
2;True;37.3836678;-5.9633886;False;238000.0;2;70.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;1166.745505131363;5.882750446040486;Piso;Bajo/Semisótano
2;True;37.3885936;-5.9713436;False;400000.0;2;87.0;0;1;0;1;0;0;0;0;False;False;0;1;0;0;0;1175.7752032993396;3.5273256098980186;Dúplex;Segundo Piso
1;False;37.3869845;-5.9542114;False;92990.0;2;60.0;0;1;0;0;0;0;0;0;False;False;0;0;0;0;0;859.5176826845366;11.091743404897773;Piso;Bajo/Semisótano
1;False;37.3856699;-5.9554319;False;75000.0;3;70.0;0;1;0;0;0;1;0;0;False;False;0;0;0;0;0;910.4817268021834;14.567707628834933;Piso;Cuarto Piso
2;False;37.386136;-5.9697264;False;325000.0;3;135.0;0;1;1;0;0;0;0;0;False;False;0;1;0;0;0;1207.3421080612443;4.4578785528415175;Dúplex;Primer Piso
4;False;37.3842435;-5.9667358;False;1200000.0;4;360.0;0;0;0;0;0;0;0;0;False;True;1;0;0;0;0;1691.1250000000002;1.6911250000000002;Chalet;Bajo/Semisótano
4;False;37.3838013;-5.9654493;False;645000.0;8;372.0;0;0;0;0;0;0;0;0;False;False;1;0;0;0;0;1680.2083333333335;3.125968992248062;Chalet;Bajo/Semisótano
2;True;37.3839551;-5.9659882;False;325000.0;4;125.0;0;1;0;0;0;0;1;0;False;False;0;0;0;0;0;1161.188526193634;4.287465327484187;Piso;Piso Alto
